88| Family Care|2010-03-05|NULL
70| Troop Specialty|2010-09-30|NULL
23| Special Needs Awareness|2010-05-05|NULL
94| Photography|2010-07-10|NULL
22| Performing Arts|2007-03-09|NULL
28| Photography|2007-04-04|NULL
12| Swimming|2007-11-16|NULL
48| Computer|2010-08-29|NULL
56| Powercraft|2009-06-10|NULL
38| Literary Arts|2008-12-25|NULL
56| Home Repair|2007-07-31|NULL
51| Powercraft|2010-05-02|NULL
95| Collector|2010-04-01|NULL
71| Horticulture|2007-08-13|NULL
66| Safety|2007-02-28|NULL
84| Pioneering|2008-03-08|NULL
37| Troop Specialty|2009-04-22|NULL
39| Music|2007-04-25|NULL
38| Horticulture|2008-07-10|NULL
31| Science|2009-11-04|NULL
89| Collector|2010-02-21|NULL
25| Team Sport|2008-08-13|NULL
6| Forestry|2010-04-22|NULL
70| Exploring|2007-11-23|NULL
72| Horticulture|2008-07-27|NULL
3| Engineering|2010-01-20|NULL
34| Science|2007-03-29|NULL
73| Pet Care|2010-10-17|NULL
94| Fish and Wildlife|2010-09-10|NULL
15| Collector|2010-04-14|NULL
87| Communicator|2009-06-06|NULL
54| Safety|2009-02-12|NULL
62| Music|2010-01-09|NULL
49| Photography|2010-12-22|NULL
75| Advanced Tripping|2009-07-03|NULL
95| Safety|2009-09-29|NULL
64| Science|2009-06-13|NULL
19| Family Care|2009-11-15|NULL
71| Naturalist|2008-04-19|NULL
84| Weather|2007-09-03|NULL
55| Winter Scouting|2009-06-18|NULL
25| Photography|2009-10-22|NULL
5| First Aid|2010-02-20|NULL
91| Advanced Tripping|2007-03-23|NULL
49| Engineering|2007-08-31|NULL
17| White Water|2007-07-27|NULL
11| Science|2008-09-12|NULL
55| Soil and Water Management|2008-12-25|NULL
69| Space Exploration|2008-07-10|NULL
87| Winter Scouting|2009-08-15|NULL
42| Water Tripping|2010-05-24|NULL
46| Horticulture|2010-01-03|NULL
57| Artist|2009-07-20|NULL
97| Team Sport|2010-10-27|NULL
22| Swimming|2009-03-14|NULL
87| Family Care|2007-09-18|NULL
80| Family Care|2009-03-24|NULL
3| Swimming|2008-12-23|NULL
15| Handicraft|2007-06-07|NULL
62| Pet Care|2008-08-11|NULL
16| Water Tripping|2008-07-26|NULL
33| Computer|2008-09-14|NULL
53| Performing Arts|2010-10-05|NULL
94| Science|2007-05-15|NULL
27| Powercraft|2010-08-13|NULL
52| Weather|2007-06-30|NULL
79| Cooking|2008-05-02|NULL
15| Water Tripping|2007-10-11|NULL
71| Cooking|2010-02-28|NULL
18| Builder|2009-04-14|NULL
75| Winter Scouting|2009-07-17|NULL
100| Agriculture|2007-01-15|NULL
27|Individual Sport|2007-05-28|NULL
94| Artist|2010-01-19|NULL
85| Agriculture|2010-10-21|NULL
98| Cooking|2010-11-30|NULL
36| Water Tripping|2007-03-03|NULL
16| Literary Arts|2009-12-11|NULL
6| Water Tripping|2010-07-14|NULL
55| Individual Specialty|2007-08-06|NULL
86| Special Needs Awareness|2009-07-18|NULL
47| Powercraft|2008-03-21|NULL
45| Artist|2009-08-08|NULL
32| Handicraft|2009-05-19|NULL
30| Swimming|2010-11-06|NULL
63| Special Needs Awareness|2010-10-29|NULL
47| Communicator|2008-11-28|NULL
24| Engineering|2008-04-22|NULL
56| Water Tripping|2007-10-08|NULL
14| Paddling|2010-03-27|NULL
96| Family Care|2007-03-26|NULL
96| Performing Arts|2008-09-26|NULL
16| Handicraft|2007-03-19|NULL
62| Paddling|2008-06-18|NULL
42| Powercraft|2009-09-27|NULL
30| Exploring|2008-01-13|NULL
7| Fish and Wildlife|2008-10-06|NULL
80| Winter Scouting|2010-10-15|NULL
82| Language Strip|2008-10-20|NULL
0||NULL|NULL
97||2000-01-01|none
61|Engineering|1999-01-01|lots
